Pressure,11/11/2014 01:00:00,1699.0 mbar
Pressure,11/11/2014 02:00:00,1883.0 mbar
Pressure,11/11/2014 03:00:00,739.0 mbar
Pressure,11/11/2014 04:00:00,563.0 mbar
Pressure,11/11/2014 05:00:00,1028.0 mbar
Pressure,11/11/2014 06:00:00,207.0 mbar
Pressure,11/11/2014 07:00:00,380.0 mbar
Pressure,11/11/2014 08:00:00,853.0 mbar
Pressure,11/11/2014 09:00:00,1246.0 mbar
Pressure,11/11/2014 10:00:00,638.0 mbar
Pressure,11/11/2014 11:00:00,1614.0 mbar
Pressure,11/11/2014 12:00:00,451.0 mbar
Pressure,11/11/2014 13:00:00,17.0 mbar
Pressure,11/11/2014 14:00:00,1689.0 mbar
Pressure,11/11/2014 15:00:00,1450.0 mbar
Pressure,11/11/2014 16:00:00,883.0 mbar
Pressure,11/11/2014 17:00:00,1748.0 mbar
Pressure,11/11/2014 18:00:00,765.0 mbar
Pressure,11/11/2014 19:00:00,852.0 mbar
Pressure,11/11/2014 20:00:00,1093.0 mbar
Pressure,11/11/2014 21:00:00,1730.0 mbar
Pressure,11/11/2014 22:00:00,274.0 mbar
Pressure,11/11/2014 23:00:00,932.0 mbar
Pressure,12/11/2014 00:00:00,1185.0 mbar
Pressure,12/11/2014 01:00:00,605.0 mbar
Pressure,12/11/2014 02:00:00,681.0 mbar
Pressure,12/11/2014 03:00:00,1101.0 mbar
Pressure,12/11/2014 04:00:00,1061.0 mbar
Pressure,12/11/2014 05:00:00,662.0 mbar
Pressure,12/11/2014 06:00:00,1019.0 mbar
Pressure,12/11/2014 07:00:00,302.0 mbar
Pressure,12/11/2014 08:00:00,664.0 mbar
Pressure,12/11/2014 09:00:00,1028.0 mbar
Pressure,12/11/2014 10:00:00,817.0 mbar
Pressure,12/11/2014 11:00:00,917.0 mbar
Pressure,12/11/2014 12:00:00,249.0 mbar
Pressure,12/11/2014 13:00:00,798.0 mbar
Pressure,12/11/2014 14:00:00,1830.0 mbar
Pressure,12/11/2014 15:00:00,993.0 mbar
Pressure,12/11/2014 16:00:00,879.0 mbar
Pressure,12/11/2014 17:00:00,1772.0 mbar
Pressure,12/11/2014 18:00:00,1578.0 mbar
Pressure,12/11/2014 19:00:00,117.0 mbar
Pressure,12/11/2014 20:00:00,1162.0 mbar
Pressure,12/11/2014 21:00:00,1600.0 mbar
Pressure,12/11/2014 22:00:00,1262.0 mbar
Pressure,12/11/2014 23:00:00,1382.0 mbar
Pressure,13/11/2014 00:00:00,140.0 mbar
